target,rank,feature_id,column_name,variant,correlation,n_samples
w1440_h15,48,reg_bqx_eurusd.reg_mean_360,reg_mean_360,bqx,0.5194,1215516
w1440_h15,49,agg_bqx_eurusd.agg_mean_360,agg_mean_360,bqx,0.5194,1215516
w1440_h15,50,mom_eurusd.mom_roc_smooth_360,mom_roc_smooth_360,idx,0.5194,1215493
w1440_h15,51,der_eurusd.der_v1_360,der_v1_360,idx,0.5125,1215493
w1440_h15,52,mom_eurusd.mom_diff_360,mom_diff_360,idx,0.5125,1215493
w1440_h15,53,reg_eurusd.reg_slope_360,reg_slope_360,idx,0.5119,1215518
w1440_h15,54,eurusd_bqx.bqx_360,bqx_360,bqx,0.5109,1215493
w1440_h15,55,mom_eurusd.mom_roc_360,mom_roc_360,idx,0.5109,1215493
w1440_h15,56,mom_eurusd.mom_zscore_1440,mom_zscore_1440,idx,0.508,1215422
w1440_h15,57,reg_eurusd.reg_direction_720,reg_direction_720,idx,0.5044,1215518
w1440_h15,58,align_eurusd.dir_720,dir_720,idx,0.5043,1215469
w1440_h15,59,mom_eurusd.mom_dir_720,mom_dir_720,idx,0.5043,1215469
w1440_h15,60,align_eurusd.pos_720,pos_720,idx,0.5022,1215518
w1440_h15,61,agg_eurusd.agg_position_720,agg_position_720,idx,0.5022,1215518
w1440_h15,62,mrt_eurusd.mrt_tension_720,mrt_tension_720,idx,0.4989,1215518
w1440_h15,63,align_eurusd.zscore_720,zscore_720,idx,0.4653,1215518
w1440_h15,64,reg_eurusd.reg_zscore_720,reg_zscore_720,idx,0.4653,1215518
w1440_h15,65,mom_eurusd.mom_pos_count_360,mom_pos_count_360,idx,0.4645,1215518
w1440_h15,66,reg_eurusd.reg_deviation_360,reg_deviation_360,idx,0.4495,1215518
w1440_h15,67,div_eurusd.div_cascade_direction,div_cascade_direction,idx,-0.393,1215518
w1440_h15,68,agg_bqx_eurusd.agg_mean_180,agg_mean_180,bqx,0.3831,1215516
w1440_h15,69,reg_bqx_eurusd.reg_mean_180,reg_mean_180,bqx,0.3831,1215516
w1440_h15,70,agg_bqx_eurusd.agg_sum_180,agg_sum_180,bqx,0.3831,1215516
w1440_h15,71,mom_eurusd.mom_roc_smooth_180,mom_roc_smooth_180,idx,0.383,1215506
w1440_h15,72,mom_eurusd.mom_diff_180,mom_diff_180,idx,0.3693,1215506
w1440_h15,73,der_eurusd.der_v1_180,der_v1_180,idx,0.3693,1215506
w1440_h15,74,reg_eurusd.reg_slope_180,reg_slope_180,idx,0.3685,1215518
w1440_h15,75,mom_eurusd.mom_roc_180,mom_roc_180,idx,0.368,1215506
w1440_h15,76,eurusd_bqx.bqx_180,bqx_180,bqx,0.368,1215506
w1440_h15,77,mrt_eurusd.mrt_tension_360,mrt_tension_360,idx,0.3459,1215518
w1440_h15,78,align_eurusd.dir_360,dir_360,idx,0.3371,1215493
w1440_h15,79,mom_eurusd.mom_dir_360,mom_dir_360,idx,0.3371,1215493
w1440_h15,80,reg_eurusd.reg_direction_360,reg_direction_360,idx,0.3366,1215518
w1440_h15,81,align_eurusd.pos_360,pos_360,idx,0.3288,1215518
w1440_h15,82,agg_eurusd.agg_position_360,agg_position_360,idx,0.3288,1215518
w1440_h15,83,agg_bqx_eurusd.agg_max_1440,agg_max_1440,bqx,0.3226,1215516
w1440_h15,84,reg_bqx_eurusd.reg_max_1440,reg_max_1440,bqx,0.3226,1215516
w1440_h15,85,reg_eurusd.reg_deviation_180,reg_deviation_180,idx,0.3217,1215518
w1440_h15,86,lag_bqx_eurusd_90.sma_90,sma_90,bqx,0.3208,1209473
w1440_h15,87,mom_eurusd.mom_pos_count_180,mom_pos_count_180,idx,0.3187,1215518
w1440_h15,88,reg_eurusd.reg_zscore_360,reg_zscore_360,idx,0.3174,1215518
w1440_h15,89,align_eurusd.zscore_360,zscore_360,idx,0.3174,1215518
w1440_h15,90,reg_bqx_eurusd.reg_min_1440,reg_min_1440,bqx,0.2952,1215516
w1440_h15,91,agg_bqx_eurusd.agg_min_1440,agg_min_1440,bqx,0.2952,1215516
w1440_h15,92,lag_bqx_eurusd_90.ema_90,ema_90,bqx,0.2878,1209473
w1440_h15,93,agg_bqx_eurusd.agg_mean_90,agg_mean_90,bqx,0.2867,1215516
w1440_h15,94,reg_bqx_eurusd.reg_mean_90,reg_mean_90,bqx,0.2867,1215516
w1440_h15,95,agg_bqx_eurusd.agg_sum_90,agg_sum_90,bqx,0.2867,1215516
w1440_h15,96,mom_eurusd.mom_roc_smooth_90,mom_roc_smooth_90,idx,0.2867,1215513
w1440_h15,97,reg_bqx_eurusd.reg_max_720,reg_max_720,bqx,0.2693,1215516
w1440_h15,98,agg_bqx_eurusd.agg_max_720,agg_max_720,bqx,0.2693,1215516
w1440_h15,99,lag_eurusd_90.momentum_90,momentum_90,idx,0.2633,1215513
w1440_h15,100,mom_eurusd.mom_diff_90,mom_diff_90,idx,0.2633,1215513
w1440_h30,1,reg_eurusd.reg_slope_1440,reg_slope_1440,idx,0.9926,1215518
w1440_h30,2,mom_eurusd.mom_diff_1440,mom_diff_1440,idx,0.9923,1215422
w1440_h30,3,der_eurusd.der_v1_1440,der_v1_1440,idx,0.9923,1215422
w1440_h30,4,eurusd_bqx.bqx_1440,bqx_1440,bqx,0.9909,1215422
w1440_h30,5,mom_eurusd.mom_roc_1440,mom_roc_1440,idx,0.9909,1215422
w1440_h30,6,mom_eurusd.mom_roc_smooth_1440,mom_roc_smooth_1440,idx,0.9809,1215422
w1440_h30,7,agg_bqx_eurusd.agg_sum_1440,agg_sum_1440,bqx,0.9809,1215516
w1440_h30,8,agg_bqx_eurusd.agg_mean_1440,agg_mean_1440,bqx,0.9808,1215516
w1440_h30,9,reg_bqx_eurusd.reg_mean_1440,reg_mean_1440,bqx,0.9808,1215516
w1440_h30,10,reg_eurusd.reg_deviation_2880,reg_deviation_2880,idx,0.9222,1215518
w1440_h30,11,div_eurusd.div_45_2880,div_45_2880,idx,-0.917,1215518
w1440_h30,12,reg_eurusd.reg_deviation_1440,reg_deviation_1440,idx,0.8723,1215518
w1440_h30,13,div_eurusd.div_90_1440,div_90_1440,idx,-0.8689,1215518
w1440_h30,14,reg_eurusd.reg_zscore_2880,reg_zscore_2880,idx,0.8069,1215518
w1440_h30,15,agg_eurusd.agg_position_2880,agg_position_2880,idx,0.7812,1215518
w1440_h30,16,agg_eurusd.agg_position_1440,agg_position_1440,idx,0.7624,1215518
w1440_h30,17,align_eurusd.pos_1440,pos_1440,idx,0.7624,1215518
w1440_h30,18,reg_eurusd.reg_slope_2880,reg_slope_2880,idx,0.7524,1215518
w1440_h30,19,der_eurusd.der_v1_2880,der_v1_2880,idx,0.7523,1215391
w1440_h30,20,eurusd_bqx.bqx_2880,bqx_2880,bqx,0.7505,1215391
w1440_h30,21,reg_eurusd.reg_direction_1440,reg_direction_1440,idx,0.7454,1215518
w1440_h30,22,align_eurusd.dir_1440,dir_1440,idx,0.7451,1215422
w1440_h30,23,mom_eurusd.mom_dir_1440,mom_dir_1440,idx,0.7451,1215422
w1440_h30,24,agg_bqx_eurusd.agg_sum_2880,agg_sum_2880,bqx,0.7418,1215516
w1440_h30,25,reg_bqx_eurusd.reg_mean_2880,reg_mean_2880,bqx,0.7418,1215516
w1440_h30,26,agg_bqx_eurusd.agg_mean_2880,agg_mean_2880,bqx,0.7418,1215516
w1440_h30,27,mom_eurusd.mom_pos_count_720,mom_pos_count_720,idx,0.7203,1215518
w1440_h30,28,mom_eurusd.mom_roc_smooth_720,mom_roc_smooth_720,idx,0.7174,1215469
w1440_h30,29,agg_bqx_eurusd.agg_sum_720,agg_sum_720,bqx,0.7173,1215516
w1440_h30,30,agg_bqx_eurusd.agg_mean_720,agg_mean_720,bqx,0.7173,1215516
w1440_h30,31,reg_bqx_eurusd.reg_mean_720,reg_mean_720,bqx,0.7173,1215516
w1440_h30,32,mom_eurusd.mom_diff_720,mom_diff_720,idx,0.7129,1215469
w1440_h30,33,der_eurusd.der_v1_720,der_v1_720,idx,0.7129,1215469
w1440_h30,34,reg_eurusd.reg_slope_720,reg_slope_720,idx,0.7125,1215518
w1440_h30,35,eurusd_bqx.bqx_720,bqx_720,bqx,0.7109,1215469
w1440_h30,36,mom_eurusd.mom_roc_720,mom_roc_720,idx,0.7109,1215469
w1440_h30,37,mrt_eurusd.mrt_tension_2880,mrt_tension_2880,idx,0.7104,1215518
w1440_h30,38,align_eurusd.zscore_1440,zscore_1440,idx,0.6959,1215518
w1440_h30,39,reg_eurusd.reg_zscore_1440,reg_zscore_1440,idx,0.6959,1215518
w1440_h30,40,mrt_eurusd.mrt_tension_1440,mrt_tension_1440,idx,0.695,1215518
w1440_h30,41,mrt_eurusd.mrt_tension_composite,mrt_tension_composite,idx,0.6356,1215518
w1440_h30,42,reg_eurusd.reg_deviation_720,reg_deviation_720,idx,0.623,1215518
w1440_h30,43,div_eurusd.div_180_720,div_180_720,idx,-0.6146,1215518
w1440_h30,44,reg_eurusd.reg_direction_2880,reg_direction_2880,idx,0.5697,1215518
w1440_h30,45,mom_eurusd.mom_pos_count_1440,mom_pos_count_1440,idx,0.5623,1215518
w1440_h30,46,mom_bqx_eurusd.mom_pos_count_1440,mom_pos_count_1440,bqx,0.5231,1215516
w1440_h30,47,agg_bqx_eurusd.agg_sum_360,agg_sum_360,bqx,0.5191,1215516
w1440_h30,48,agg_bqx_eurusd.agg_mean_360,agg_mean_360,bqx,0.5191,1215516
w1440_h30,49,reg_bqx_eurusd.reg_mean_360,reg_mean_360,bqx,0.5191,1215516
w1440_h30,50,mom_eurusd.mom_roc_smooth_360,mom_roc_smooth_360,idx,0.5191,1215493
w1440_h30,51,der_eurusd.der_v1_360,der_v1_360,idx,0.5122,1215493
w1440_h30,52,mom_eurusd.mom_diff_360,mom_diff_360,idx,0.5122,1215493
w1440_h30,53,reg_eurusd.reg_slope_360,reg_slope_360,idx,0.5116,1215518
w1440_h30,54,mom_eurusd.mom_roc_360,mom_roc_360,idx,0.5106,1215493
w1440_h30,55,eurusd_bqx.bqx_360,bqx_360,bqx,0.5106,1215493
w1440_h30,56,mom_eurusd.mom_zscore_1440,mom_zscore_1440,idx,0.5079,1215422
w1440_h30,57,reg_eurusd.reg_direction_720,reg_direction_720,idx,0.5047,1215518
w1440_h30,58,align_eurusd.dir_720,dir_720,idx,0.5046,1215469
w1440_h30,59,mom_eurusd.mom_dir_720,mom_dir_720,idx,0.5046,1215469
w1440_h30,60,align_eurusd.pos_720,pos_720,idx,0.5023,1215518
w1440_h30,61,agg_eurusd.agg_position_720,agg_position_720,idx,0.5023,1215518
w1440_h30,62,mrt_eurusd.mrt_tension_720,mrt_tension_720,idx,0.4989,1215518
w1440_h30,63,reg_eurusd.reg_zscore_720,reg_zscore_720,idx,0.4653,1215518
w1440_h30,64,align_eurusd.zscore_720,zscore_720,idx,0.4653,1215518
w1440_h30,65,mom_eurusd.mom_pos_count_360,mom_pos_count_360,idx,0.4647,1215518
w1440_h30,66,reg_eurusd.reg_deviation_360,reg_deviation_360,idx,0.4491,1215518
w1440_h30,67,div_eurusd.div_cascade_direction,div_cascade_direction,idx,-0.3922,1215518
w1440_h30,68,agg_bqx_eurusd.agg_sum_180,agg_sum_180,bqx,0.3828,1215516
w1440_h30,69,agg_bqx_eurusd.agg_mean_180,agg_mean_180,bqx,0.3828,1215516
w1440_h30,70,reg_bqx_eurusd.reg_mean_180,reg_mean_180,bqx,0.3828,1215516
w1440_h30,71,mom_eurusd.mom_roc_smooth_180,mom_roc_smooth_180,idx,0.3827,1215506
w1440_h30,72,der_eurusd.der_v1_180,der_v1_180,idx,0.369,1215506
w1440_h30,73,mom_eurusd.mom_diff_180,mom_diff_180,idx,0.369,1215506
w1440_h30,74,reg_eurusd.reg_slope_180,reg_slope_180,idx,0.3683,1215518
w1440_h30,75,mom_eurusd.mom_roc_180,mom_roc_180,idx,0.3677,1215506
w1440_h30,76,eurusd_bqx.bqx_180,bqx_180,bqx,0.3677,1215506
w1440_h30,77,mrt_eurusd.mrt_tension_360,mrt_tension_360,idx,0.3456,1215518
w1440_h30,78,mom_eurusd.mom_dir_360,mom_dir_360,idx,0.3369,1215493
w1440_h30,79,align_eurusd.dir_360,dir_360,idx,0.3369,1215493
w1440_h30,80,reg_eurusd.reg_direction_360,reg_direction_360,idx,0.3364,1215518
w1440_h30,81,agg_eurusd.agg_position_360,agg_position_360,idx,0.3285,1215518
w1440_h30,82,align_eurusd.pos_360,pos_360,idx,0.3285,1215518
w1440_h30,83,reg_bqx_eurusd.reg_max_1440,reg_max_1440,bqx,0.3217,1215516
w1440_h30,84,agg_bqx_eurusd.agg_max_1440,agg_max_1440,bqx,0.3217,1215516
w1440_h30,85,reg_eurusd.reg_deviation_180,reg_deviation_180,idx,0.3215,1215518
w1440_h30,86,lag_bqx_eurusd_90.sma_90,sma_90,bqx,0.3209,1209473
w1440_h30,87,mom_eurusd.mom_pos_count_180,mom_pos_count_180,idx,0.3183,1215518
