pair,feature_name,source_table,best_horizon,max_corr,h15,h30,h45,h60,h75,h90,h105
gbpjpy,reg_mean_720,reg_gbpjpy,h15,0.9999,0.9999,0.9999,0.9998,0.9998,0.9998,0.9998,0.9998
usdjpy,sma_45,lag_usdjpy_45,h105,0.9999,0.9998,0.9998,0.9998,0.9998,0.9999,0.9999,0.9999
usdjpy,reg_mean_45,reg_usdjpy,h105,0.9999,0.9998,0.9998,0.9998,0.9998,0.9999,0.9999,0.9999
usdjpy,agg_mean_45,agg_usdjpy,h105,0.9999,0.9998,0.9998,0.9998,0.9998,0.9999,0.9999,0.9999
usdjpy,agg_max_90,agg_usdjpy,h90,0.9999,0.9998,0.9998,0.9999,0.9999,0.9999,0.9999,0.9999
usdjpy,reg_max_90,reg_usdjpy,h90,0.9999,0.9998,0.9998,0.9999,0.9999,0.9999,0.9999,0.9999
usdjpy,reg_max_45,reg_usdjpy,h105,0.9999,0.9998,0.9998,0.9998,0.9998,0.9999,0.9999,0.9999
usdjpy,agg_max_45,agg_usdjpy,h105,0.9999,0.9998,0.9998,0.9998,0.9998,0.9999,0.9999,0.9999
usdjpy,val2,cov_agg_nzdjpy_usdjpy,h105,0.9999,0.9998,0.9998,0.9998,0.9998,0.9999,0.9999,0.9999
usdjpy,val2,cov_reg_nzdjpy_usdjpy,h105,0.9999,0.9998,0.9998,0.9998,0.9998,0.9999,0.9999,0.9999
usdjpy,val2,cov_agg_audjpy_usdjpy,h105,0.9999,0.9998,0.9998,0.9998,0.9998,0.9999,0.9999,0.9999
usdjpy,val2,cov_reg_audjpy_usdjpy,h105,0.9999,0.9998,0.9998,0.9998,0.9998,0.9999,0.9999,0.9999
usdjpy,val2,cov_reg_cadjpy_usdjpy,h105,0.9999,0.9998,0.9998,0.9998,0.9998,0.9999,0.9999,0.9999
usdjpy,val2,cov_agg_cadjpy_usdjpy,h105,0.9999,0.9998,0.9998,0.9998,0.9998,0.9999,0.9999,0.9999
usdjpy,val2,cov_agg_gbpjpy_usdjpy,h105,0.9999,0.9998,0.9998,0.9998,0.9998,0.9998,0.9999,0.9999
usdjpy,val2,cov_reg_gbpjpy_usdjpy,h105,0.9999,0.9998,0.9998,0.9998,0.9998,0.9998,0.9999,0.9999
