pair,feature_name,source_table,best_horizon,max_corr,h15,h30,h45,h60,h75,h90,h105
eurjpy,val1,cov_reg_eurjpy_eurusd,h90,1.0,0.9999,0.9999,0.9999,0.9999,1.0,1.0,1.0
gbpjpy,reg_mean_360,reg_gbpjpy,h15,1.0,1.0,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999
gbpjpy,agg_mean_360,agg_gbpjpy,h15,1.0,1.0,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999
gbpjpy,agg_sum_360,agg_gbpjpy,h15,1.0,1.0,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999
eurjpy,val2,cov_reg_eurgbp_eurjpy,h90,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999
eurjpy,val2,cov_agg_eurgbp_eurjpy,h90,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999
eurjpy,val2,cov_agg_eurchf_eurjpy,h90,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999
eurjpy,val2,cov_reg_eurchf_eurjpy,h90,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999
eurjpy,high_lag_90,lag_eurjpy_90,h30,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999
eurjpy,open_lag_90,lag_eurjpy_90,h30,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999
eurjpy,reg_first_90,reg_eurjpy,h30,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999
eurjpy,reg_const_term_90,reg_eurjpy,h30,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999
eurjpy,close_lag_90,lag_eurjpy_90,h30,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999
eurjpy,agg_max_45,agg_eurjpy,h90,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999
eurjpy,reg_max_45,reg_eurjpy,h90,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999
eurjpy,low_lag_90,lag_eurjpy_90,h30,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999
eurjpy,high_lag_45,lag_eurjpy_45,h75,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999
eurjpy,agg_max_90,agg_eurjpy,h75,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999
eurjpy,reg_max_90,reg_eurjpy,h75,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999
gbpjpy,agg_mean_720,agg_gbpjpy,h15,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999
gbpjpy,reg_mean_720,reg_gbpjpy,h15,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999
gbpjpy,agg_sum_720,agg_gbpjpy,h15,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999
eurjpy,open_lag_45,lag_eurjpy_45,h75,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999
eurjpy,close_lag_45,lag_eurjpy_45,h75,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999
eurjpy,reg_const_term_45,reg_eurjpy,h75,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999
eurjpy,reg_first_45,reg_eurjpy,h75,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999
eurjpy,val2,cov_lag_audjpy_eurjpy,h75,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999
eurjpy,val1,cov_lag_eurjpy_eurnzd,h75,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999
eurjpy,val1,cov_lag_eurjpy_gbpjpy,h75,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999
eurjpy,high_idx,eurjpy_idx,h105,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999
eurjpy,val2,cov_lag_eurcad_eurjpy,h75,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999
eurjpy,val1,cov_lag_eurjpy_nzdjpy,h75,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999
eurjpy,val2,cov_lag_cadjpy_eurjpy,h75,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999
chfjpy,reg_first_720,reg_chfjpy,h15,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999
chfjpy,reg_const_term_720,reg_chfjpy,h15,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999
eurjpy,reg_ci_upper_45,reg_eurjpy,h105,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999
eurjpy,reg_ci_upper_90,reg_eurjpy,h105,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999
eurjpy,reg_ci_upper_180,reg_eurjpy,h105,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999
eurjpy,val1,cov_lag_eurjpy_usdjpy,h75,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999
eurjpy,reg_ci_lower_2880,reg_eurjpy,h105,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999
eurjpy,reg_ci_upper_360,reg_eurjpy,h105,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999
eurjpy,val2,cov_lag_euraud_eurjpy,h75,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999
eurjpy,open_idx,eurjpy_idx,h105,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999
eurjpy,close_idx,eurjpy_idx,h105,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999
eurjpy,low_lag_45,lag_eurjpy_45,h75,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999
eurjpy,reg_ci_lower_1440,reg_eurjpy,h105,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999
eurjpy,reg_ci_upper_720,reg_eurjpy,h105,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999
eurjpy,val1,cov_lag_eurjpy_eurusd,h75,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999
eurjpy,reg_ci_upper_1440,reg_eurjpy,h105,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999
eurjpy,reg_ci_lower_720,reg_eurjpy,h105,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999
eurjpy,reg_ci_upper_2880,reg_eurjpy,h105,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999
eurjpy,reg_ci_lower_360,reg_eurjpy,h105,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999
eurjpy,reg_ci_lower_180,reg_eurjpy,h105,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999
eurjpy,reg_ci_lower_90,reg_eurjpy,h105,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999
eurjpy,low_idx,eurjpy_idx,h105,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999
eurjpy,reg_ci_lower_45,reg_eurjpy,h105,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999
eurjpy,val2,cov_lag_eurgbp_eurjpy,h75,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999
eurjpy,reg_max_180,reg_eurjpy,h45,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999
eurjpy,agg_max_180,agg_eurjpy,h45,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999
eurjpy,reg_const_term_180,reg_eurjpy,h15,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999
eurjpy,reg_first_180,reg_eurjpy,h15,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999
eurjpy,val2,cov_lag_eurchf_eurjpy,h75,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999
eurjpy,agg_min_45,agg_eurjpy,h90,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999
eurjpy,reg_min_45,reg_eurjpy,h90,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999
usdjpy,agg_sum_180,agg_usdjpy,h60,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999
usdjpy,agg_mean_180,agg_usdjpy,h60,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999
usdjpy,reg_mean_180,reg_usdjpy,h60,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999
eurjpy,agg_min_90,agg_eurjpy,h75,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999
eurjpy,reg_min_90,reg_eurjpy,h75,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999
eurjpy,reg_max_360,reg_eurjpy,h15,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999
eurjpy,agg_max_360,agg_eurjpy,h15,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999
usdjpy,val2,cov_agg_chfjpy_usdjpy,h105,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999
usdjpy,val2,cov_reg_chfjpy_usdjpy,h105,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999
eurjpy,reg_min_180,reg_eurjpy,h60,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999
eurjpy,agg_min_180,agg_eurjpy,h60,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999
gbpjpy,agg_sum_180,agg_gbpjpy,h45,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999
gbpjpy,agg_mean_180,agg_gbpjpy,h45,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999
gbpjpy,reg_mean_180,reg_gbpjpy,h45,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999
usdjpy,val2,cov_agg_gbpusd_usdjpy,h105,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999
